A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
49,216.9444533714941,10,0.45410937721373,292.56601488577974,1.5,0.718468086014858,49.87535425009368,1.0,0.20954337403253231,315.2814934070208,10,0.8557227165123164,184.99440447656463,1.5,0.6274882931769609,1.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3000,policy 0,dikesnet
22,208.1929415013572,10,0.7608374094034847,328.9035869815571,1.0,0.2704400936073598,281.1112202769449,1.5,0.8614723979712287,223.07649591258172,1.0,0.04667105440745078,109.87392460507323,1.5,0.6001670738894851,1.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3001,policy 0,dikesnet
40,94.27376642167047,1.5,0.26325085041036733,214.62152460133842,1.5,0.7417631420872356,125.02665684638318,10,0.9927401036364562,199.75665738691544,1.5,0.020833136438265717,234.97450248231792,10,0.7744255644241311,1.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3002,policy 0,dikesnet
89,87.39110409008863,10,0.6657618457092289,105.01466079503275,1.5,0.019839904120856098,115.21672495240702,10,0.7741986711969034,233.76821170282437,1.5,0.6880675515887081,174.25724080596703,1.0,0.5292618883695901,3.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3003,policy 0,dikesnet
79,343.44964896223564,1.5,0.4577092499421042,82.09313845699947,1.0,0.4307725201694474,308.11492296071333,10,0.34895886896556305,331.51383419907904,1.0,0.3913076202175781,333.21040170220675,1.5,0.15534480603740627,1.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3004,policy 0,dikesnet
124,309.85009836903254,10,0.9826877169688192,268.6070147383381,10,0.574603244431235,219.16217777434588,1.0,0.7549875577743133,112.12049048587403,1.5,0.6857461528162375,96.22902358058549,1.0,0.17100677063310507,1.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3005,policy 0,dikesnet
46,251.19517232172092,10,0.27551211557179695,131.72698317480706,1.0,0.24130993828615938,167.23068765710315,1.0,0.25482945557480824,170.3865112658459,1.5,0.13477945581007988,275.014879473717,10,0.27956109951606867,1.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3006,policy 0,dikesnet
75,349.90437380726024,10,0.5915724024876012,271.6220631504677,1.0,0.5888630803009572,175.54185465494987,10,0.9164564262354158,79.03067440806038,1.5,0.358502536247776,317.057935260544,10,0.07767308621838617,1.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3007,policy 0,dikesnet
69,176.50402915850782,1.0,0.7681763132688593,152.3653768824076,1.0,0.15440731312127143,101.13424003925209,1.0,0.5414147782057893,55.04202350316993,10,0.8420543194362139,260.0335264241799,1.5,0.06658845685118564,4.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3008,policy 0,dikesnet
7,112.0809211980301,1.5,0.05593106633278985,174.84970691640396,1.0,0.49407619935355784,233.40296346847055,1.5,0.3794122542325492,185.85445907408476,1.5,0.2552949135939627,262.1959820794104,10,0.7006745807853351,1.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3009,policy 0,dikesnet
125,239.99791485499185,10,0.5268472463146531,274.59788482663464,1.5,0.23285156225610895,323.4592791517533,1.5,0.5293695189395831,248.10725918296683,10,0.45763629027211555,56.85411257187303,1.0,0.162183917276596,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3010,policy 0,dikesnet
0,209.0169188086207,1.0,0.8564773444447104,50.13894567955211,10,0.049596140151903584,48.110053586282476,10,0.2684691552804022,94.76760353013347,10,0.8314950962866902,131.97934371766058,1.0,0.9245195367902924,4.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3011,policy 0,dikesnet
26,118.68555303307618,1.0,0.47711003351759207,287.74213954543524,1.5,0.4014452037645604,146.51787080095124,1.0,0.528262957613626,161.50095048409963,1.0,0.30695972726706633,143.8966700711512,1.5,0.044222181516165124,4.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3012,policy 0,dikesnet
129,132.86095678642792,1.5,0.8821179833967838,260.81792172349674,1.5,0.23107977435507807,188.54866398289514,1.0,0.911506314451866,347.0197480714356,10,0.5471089847147296,68.50126072780087,1.0,0.4709795974284742,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3013,policy 0,dikesnet
68,188.3140986185812,1.5,0.1002335485173974,282.91168439428895,10,0.6789581890733042,174.72355155747186,1.0,0.7694396800276414,294.1803382274824,1.5,0.4481696873631084,76.69318214642058,1.0,0.060138059539294936,4.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3014,policy 0,dikesnet
66,125.71769473096361,10,0.5977955309929887,324.8294345197038,1.5,0.6446765923369964,258.4953079392415,10,0.7498853257446317,187.07751702975239,10,0.12573235555545692,340.2259743682213,1.5,0.03593505327238666,2.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3015,policy 0,dikesnet
17,77.52988395935162,1.5,0.9909995823561667,318.4645447255517,1.0,0.5492119661131254,199.4390022425228,1.5,0.9457364804150786,213.69442387940634,1.5,0.2906928097406926,67.76724654163976,1.5,0.7828322948891873,2.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3016,policy 0,dikesnet
